conacct,p_L,p_H1,p_H2,p_H3,size,SHH_G,CONTROLS_house_1,CONTROLS_house_2,CONTROLS_low_skill,CONTROLS_hhemp2,CONTROLS_hhemp3,CONTROLS_age2,CONTROLS_age3,CONTROLS_INC,CONTROLS_barangay_id
184039,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,1,0,0,0,0,1,0,10000,7504013
183667,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,0,0,10000,7504013
183319,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,1,0,1,0,10000,7504013
183320,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,1,0,0,0,0,1,0,10000,7504013
184357,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,0,1,1,0,0,1,0,10000,7504014
184252,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,1,1,0,0,0,10000,7504014
185782,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,1,0,0,1,10000,7504016
185538,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,1,0,0,0,0,10000,7504016
188255,0,15.3257546954685,31.5552897276702,41.1401774794967,,1,0,0,1,1,0,0,0,10000,7504018
188746,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,0,1,0,0,0,10000,7504018
188517,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,1,0,10000,7504018
192033,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,0,0,10000,7504020
193045,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,0,0,0,0,1,0,10000,7504021
193147,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,1,0,0,0,0,1,0,10000,7504021
193928,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,0,0,0,0,0,10000,7504023
195465,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,0,0,0,0,0,10000,7504028
195610,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,1,0,1,0,10000,7504029
196993,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,1,0,0,0,0,10000,7504030
196931,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,1,0,1,0,10000,7504030
195702,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,0,0,10000,7504030
198153,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,1,0,1,0,10000,7504031
198390,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,1,0,0,0,0,10000,7504031
197588,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,1,0,0,0,1,10000,7504031
197849,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,1,1,0,0,1,10000,7504031
490548,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,1,0,0,1,10000,7601009
500794,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,0,0,0,0,1,10000,7601016
524108,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,1,0,0,1,0,10000,7603007
523360,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,1,0,0,0,0,10000,7603007
523470,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,1,0,0,1,10000,7603007
523981,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,1,0,1,0,0,1,0,10000,7603007
523472,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,1,1,0,1,0,10000,7603007
522369,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,0,1,0,0,0,1,0,10000,7603007
524088,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,1,0,0,1,0,10000,7603007
523380,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,1,0,0,0,1,10000,7603007
524191,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,0,0,0,0,10000,7603007
524085,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,0,0,0,0,0,10000,7603007
523062,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,0,0,0,0,0,1,10000,7603007
524288,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,0,0,0,1,10000,7603007
527814,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,0,0,0,1,10000,7604001
528970,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,1,1,0,1,0,10000,7604003
529827,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,1,0,0,0,0,0,0,10000,7604004
531966,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,0,0,0,1,0,10000,7604005
532133,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,0,0,10000,7604005
532117,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,0,0,10000,7604005
539651,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,0,1,0,0,0,0,10000,7604009
540304,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,0,1,0,0,0,1,0,10000,7604009
540171,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,1,0,0,1,10000,7604009
541473,0,15.3257546954685,31.5552897276702,41.1401774794967,1,1,0,1,0,0,0,0,1,10000,7604011
544751,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,1,0,0,0,1,10000,7604012
